n_righeA,n_colonneA,n_righeB,n_colonneB,time,flops
128,2048,2048,8192,20.204767,212571976.09
128,4096,4096,32,1.486368,22574781.84
128,4096,4096,64,1.575584,42593007.86
128,4096,4096,128,1.918560,69957533.79
128,4096,4096,256,2.378528,112857802.25
128,4096,4096,512,3.702592,144998673.11
128,4096,4096,1024,6.066592,176992582.60
128,4096,4096,2048,11.062976,194114465.28
128,4096,4096,4096,20.593281,208561585.66
128,4096,4096,8192,39.893856,215319736.99
128,8192,8192,32,2.430208,27614453.12
128,8192,8192,64,2.704832,49621464.17
128,8192,8192,128,3.171904,84629121.38
128,8192,8192,256,4.123616,130194199.35
128,8192,8192,512,6.874656,156188439.49
128,8192,8192,1024,11.423712,187984753.99
128,8192,8192,2048,20.996128,204559968.35
128,8192,8192,4096,40.368546,212787814.84
128,8192,8192,8192,78.242210,219572901.87
256,32,32,32,0.337120,1555196.98
256,32,32,64,0.342688,3059856.25
256,32,32,128,0.362624,5783268.79
256,32,32,256,0.360992,11618827.65
256,32,32,512,0.408512,20534545.07
256,32,32,1024,0.454208,36937298.54
256,32,32,2048,0.642720,52206921.88
256,32,32,4096,0.985760,68078300.81
256,32,32,8192,1.518144,88409088.32
256,64,64,32,0.393312,2666015.74
256,64,64,64,0.394752,5312581.12
256,64,64,128,0.379072,11064662.87
256,64,64,256,0.415968,20166474.30
256,64,64,512,0.437344,38361599.65
256,64,64,1024,0.544352,61641056.35
256,64,64,2048,0.778176,86238669.87
256,64,64,4096,1.133088,118453049.43
256,64,64,8192,2.018784,132968881.20
256,128,128,32,0.393120,5334635.86
256,128,128,64,0.402560,10419078.01
256,128,128,128,0.413344,20294495.83
256,128,128,256,0.455136,36861984.02
256,128,128,512,0.545696,61489237.16
256,128,128,1024,0.689408,97342739.83
256,128,128,2048,1.048704,127984373.47
256,128,128,4096,1.666784,161049931.04
256,128,128,8192,2.728032,196797871.12
256,256,256,32,0.459904,9119955.76
256,256,256,64,0.462368,18142708.39
256,256,256,128,0.486624,34476753.95
256,256,256,256,0.560544,59860476.90
256,256,256,512,0.717696,93505973.23
256,256,256,1024,1.011616,132676558.22
256,256,256,2048,1.514240,177274045.93
256,256,256,4096,2.432480,220709272.28
256,256,256,8192,4.180800,256826883.37
256,512,512,32,0.547040,15334542.67
256,512,512,64,0.562848,29807722.22
256,512,512,128,0.597088,56196797.06
256,512,512,256,0.768512,87323116.72
256,512,512,512,0.969344,138462429.48
256,512,512,1024,1.477888,181634506.92
256,512,512,2048,2.310752,232336023.84
256,512,512,4096,3.977472,269955842.79
256,512,512,8192,7.349504,292194364.38
256,1024,1024,32,0.763744,21967067.60
256,1024,1024,64,0.806752,41592002.15
256,1024,1024,128,0.913472,73465704.74
256,1024,1024,256,1.233184,108838364.90
256,1024,1024,512,1.560832,171982283.77
256,1024,1024,1024,2.385632,225043470.00
256,1024,1024,2048,3.948320,271949043.63
256,1024,1024,4096,7.212864,297729677.31
256,1024,1024,8192,13.340736,321943794.61
256,2048,2048,32,1.278368,26247866.11
256,2048,2048,64,1.334912,50272127.97
256,2048,2048,128,1.467968,91430963.88
256,2048,2048,256,1.916384,140073940.59
256,2048,2048,512,2.603392,206219783.87
256,2048,2048,1024,4.185760,256522547.53
256,2048,2048,2048,7.253504,296061559.68
256,2048,2048,4096,13.338656,321993996.92
256,2048,2048,8192,25.410816,338042451.17
256,4096,4096,32,1.938752,34614464.40
256,4096,4096,64,2.086048,64340674.43
256,4096,4096,128,2.422528,110807987.71
256,4096,4096,256,3.270656,164147771.62
256,4096,4096,512,4.629536,231932916.99
256,4096,4096,1024,7.884224,272377302.43
256,4096,4096,2048,13.553664,316886063.45
256,4096,4096,4096,25.688608,334386921.05
256,4096,4096,8192,49.560799,346642299.03
256,8192,8192,32,3.352416,40036119.16
256,8192,8192,64,3.670848,73126281.40
256,8192,8192,128,4.152512,129288224.21
256,8192,8192,256,6.044352,177643825.89
256,8192,8192,512,8.609344,249436399.05
256,8192,8192,1024,14.891136,288424418.87
256,8192,8192,2048,26.594624,322995156.17
256,8192,8192,4096,49.839520,344703748.27
256,8192,8192,8192,97.785950,351377048.25
512,32,32,32,0.358848,2922061.66
512,32,32,64,0.352736,5945386.98
512,32,32,128,0.393440,10660593.52
512,32,32,256,0.417824,20076893.61
512,32,32,512,0.469472,35736351.30
512,32,32,1024,0.640448,52392127.62
512,32,32,2048,0.899680,74591924.49
512,32,32,4096,1.359584,98719704.39
512,32,32,8192,2.308864,116262994.46
512,64,64,32,0.375040,5591808.95
512,64,64,64,0.393856,10649334.06
512,64,64,128,0.400864,20926318.88
512,64,64,256,0.457024,36709703.88
512,64,64,512,0.506848,66202162.15
512,64,64,1024,0.723296,92782021.80
512,64,64,2048,1.029472,130375307.78
512,64,64,4096,1.666720,161056116.65
512,64,64,8192,2.979904,180163831.94
512,128,128,32,0.442304,9482853.74
512,128,128,64,0.432896,19377883.44
512,128,128,128,0.469088,35765605.65
512,128,128,256,0.515616,65076397.98
512,128,128,512,0.640032,104852358.47
512,128,128,1024,0.918560,146117536.03
512,128,128,2048,1.361888,197105375.73
512,128,128,4096,2.290976,234341564.85
512,128,128,8192,3.991744,268990649.91
512,256,256,32,0.525216,15971730.23
512,256,256,64,0.537824,31194622.73
512,256,256,128,0.594048,56484376.16
512,256,256,256,0.673696,99612979.51
512,256,256,512,0.850080,157888346.87
512,256,256,1024,1.308832,205095417.80
512,256,256,2048,2.011552,266893864.31
512,256,256,4096,3.369728,318643461.98
512,256,256,8192,6.038432,355635967.23
512,512,512,32,0.722240,23229420.51
512,512,512,64,0.749440,44772672.07
512,512,512,128,0.829760,80877437.80
512,512,512,256,1.007072,133275209.46
512,512,512,512,1.338272,200583633.90
512,512,512,1024,2.008736,267268043.20
512,512,512,2048,3.201856,335349827.80
512,512,512,4096,5.556896,386453798.48
512,512,512,8192,10.301152,416940474.27
512,1024,1024,32,1.191392,28164058.14
512,1024,1024,64,1.188960,56443334.07
512,1024,1024,128,1.423360,94296403.53
512,1024,1024,256,1.601568,167607905.97
512,1024,1024,512,2.194816,244608607.04
512,1024,1024,1024,3.214432,334037809.36
512,1024,1024,2048,5.443904,394474935.33
512,1024,1024,4096,9.795296,438472448.49
512,1024,1024,8192,18.532576,463504629.58
512,2048,2048,32,1.737312,38627987.13
512,2048,2048,64,1.849632,72564556.74
512,2048,2048,128,2.129312,126066753.56
512,2048,2048,256,2.648608,202699273.82
512,2048,2048,512,3.699424,290245674.94
512,2048,2048,1024,5.761344,372740052.39
512,2048,2048,2048,10.003680,429338723.11
512,2048,2048,4096,18.252607,470614111.69
512,2048,2048,8192,34.620705,496231066.27
512,4096,4096,32,2.950400,45491364.84
512,4096,4096,64,3.090848,86848482.58
512,4096,4096,128,3.754560,142991698.87
512,4096,4096,256,4.633408,231739101.73
512,4096,4096,512,6.798112,315894129.82
512,4096,4096,1024,10.775424,398589168.70
512,4096,4096,2048,19.182304,447805144.82
512,4096,4096,4096,35.133472,488988647.85
512,4096,4096,8192,67.988258,505377534.24
512,8192,8192,32,5.324928,50411097.72
512,8192,8192,64,5.713600,93963682.63
512,8192,8192,128,6.954720,154390373.86
512,8192,8192,256,8.729216,246011066.86
512,8192,8192,512,12.802912,335468007.36
512,8192,8192,1024,20.674496,415484600.83
512,8192,8192,2048,37.177311,462106288.70
512,8192,8192,4096,68.635101,500614666.66
512,8192,8192,8192,132.854141,517255059.55
1024,32,32,32,0.367104,5712691.87
1024,32,32,64,0.398208,10532947.81
1024,32,32,128,0.444128,18887815.84
1024,32,32,256,0.483136,34725659.15
1024,32,32,512,0.658816,50931417.91
1024,32,32,1024,0.881504,76129959.77
1024,32,32,2048,1.321280,101581593.41
1024,32,32,4096,2.242272,119715836.42
1024,32,32,8192,3.966592,135348153.29
1024,64,64,32,0.435360,9634104.79
1024,64,64,64,0.445952,18810562.65
1024,64,64,128,0.474176,35381833.68
1024,64,64,256,0.551904,60797585.49
1024,64,64,512,0.737408,91006424.67
1024,64,64,1024,1.017792,131871472.55
1024,64,64,2048,1.569248,171059936.14
1024,64,64,4096,2.663680,201552324.81
1024,64,64,8192,4.799584,223715606.13
1024,128,128,32,0.518336,16183726.45
1024,128,128,64,0.559136,30005610.08
1024,128,128,128,0.582560,57598241.96
1024,128,128,256,0.684512,98038985.62
1024,128,128,512,0.897504,149545553.20
1024,128,128,1024,1.307584,205291167.75
1024,128,128,2048,2.034304,263908903.22
1024,128,128,4096,3.525632,304553014.34
1024,128,128,8192,6.405888,335235898.75
1024,256,256,32,0.711200,23590011.29
1024,256,256,64,0.746144,44970450.94
1024,256,256,128,0.790464,84898066.65
1024,256,256,256,1.010656,132802583.78
1024,256,256,512,1.293312,207556618.70
1024,256,256,1024,1.903232,282083801.71
1024,256,256,2048,3.026240,354810518.94
1024,256,256,4096,5.262112,408102980.44
1024,256,256,8192,9.610688,446894873.95
1024,512,512,32,1.091840,30732003.88
1024,512,512,64,1.181216,56813371.91
1024,512,512,128,1.272480,105477278.10
1024,512,512,256,1.536384,174718988.46
1024,512,512,512,1.990656,269695470.78
1024,512,512,1024,2.900928,370137354.81
1024,512,512,2048,4.707936,456141233.57
1024,512,512,4096,8.513696,504477425.41
1024,512,512,8192,15.984320,537397572.14
1024,1024,1024,32,1.628960,41197367.31
1024,1024,1024,64,1.700544,78926348.29
1024,1024,1024,128,1.954400,137349295.84
1024,1024,1024,256,2.379392,225633662.97
1024,1024,1024,512,3.214080,334074382.77
1024,1024,1024,1024,4.537216,473304237.60
1024,1024,1024,2048,8.578752,500651786.45
1024,1024,1024,4096,16.256800,528390258.33
1024,1024,1024,8192,28.811487,596285400.54
1024,2048,2048,32,2.795552,48011171.77
1024,2048,2048,64,3.394400,79081859.94
1024,2048,2048,128,3.401760,157821508.87
1024,2048,2048,256,4.497376,238748512.98
1024,2048,2048,512,5.849536,367120344.12
1024,2048,2048,1024,7.908608,543075003.57
1024,2048,2048,2048,15.550848,552377245.80
1024,2048,2048,4096,28.117439,611004046.96
1024,2048,2048,8192,53.376705,643721605.87
1024,4096,4096,32,4.902944,54749850.54
1024,4096,4096,64,5.357664,100206153.49
1024,4096,4096,128,6.239776,172080183.78
1024,4096,4096,256,7.922240,271070266.43
1024,4096,4096,512,10.810176,397307808.63
1024,4096,4096,1024,17.164064,500460403.09
1024,4096,4096,2048,29.478144,582800238.83
1024,4096,4096,4096,53.962017,636739325.93
1024,4096,4096,8192,105.184959,653320371.28
1024,8192,8192,32,9.571392,56091204.78
1024,8192,8192,64,10.645632,100862198.24
1024,8192,8192,128,11.409920,188211985.46
1024,8192,8192,256,14.793632,290325420.13
1024,8192,8192,512,20.443872,420171599.69
1024,8192,8192,1024,32.903744,522125060.23
1024,8192,8192,2048,57.941376,593008673.57
1024,8192,8192,4096,106.633377,644446219.57
1024,8192,8192,8192,205.826340,667742299.93
2048,32,32,32,0.531648,7889250.32
2048,32,32,64,0.542304,15468461.08
2048,32,32,128,0.518432,32361457.85
2048,32,32,256,0.682560,49159679.28
2048,32,32,512,0.926880,72402968.94
2048,32,32,1024,1.407104,95385789.92
2048,32,32,2048,2.339648,114733265.45
2048,32,32,4096,3.862688,138988938.02
2048,32,32,8192,7.150816,150156545.69
2048,64,64,32,0.621248,13502832.86
2048,64,64,64,0.654976,25615008.39
2048,64,64,128,0.611520,54870539.67
2048,64,64,256,0.916768,73201576.56
2048,64,64,512,1.164832,115224966.75
2048,64,64,1024,1.549344,173257498.51
2048,64,64,2048,3.270560,164152593.96
2048,64,64,4096,4.558816,235530855.89
2048,64,64,8192,8.506496,252452189.43
2048,128,128,32,0.712352,23551862.73
2048,128,128,64,0.775616,43261655.80
2048,128,128,128,0.958720,69998395.79
2048,128,128,256,1.078880,124404691.83
2048,128,128,512,1.372608,195566007.54
2048,128,128,1024,2.459424,218291318.57
2048,128,128,2048,3.506752,306192687.61
2048,128,128,4096,5.998656,357994144.19
2048,128,128,8192,11.289376,380443276.72
2048,256,256,32,1.093152,30695118.87
2048,256,256,64,1.162848,57710779.26
2048,256,256,128,1.305888,102778892.35
2048,256,256,256,1.542560,174019460.67
2048,256,256,512,2.056448,261067100.40
2048,256,256,1024,2.983200,359929537.96
2048,256,256,2048,4.878912,440156260.31
2048,256,256,4096,8.815520,487205196.79
2048,256,256,8192,16.632416,516457423.26
2048,512,512,32,1.592608,42137716.91
2048,512,512,64,1.690496,79395473.61
2048,512,512,128,1.927584,139260052.35
2048,512,512,256,2.321504,231259944.05
2048,512,512,512,3.129472,343106382.82
2048,512,512,1024,4.641504,462669801.75
2048,512,512,2048,7.887616,544520322.77
2048,512,512,4096,14.744896,582570038.46
2048,512,512,8192,27.636320,621640982.34
2048,1024,1024,32,2.662304,50414126.94
2048,1024,1024,64,3.085312,87004317.75
2048,1024,1024,128,3.412224,157337532.19
2048,1024,1024,256,4.675680,229643984.86
2048,1024,1024,512,5.636832,380973489.65
2048,1024,1024,1024,8.284608,518427347.97
2048,1024,1024,2048,14.166816,606341942.95
2048,1024,1024,4096,25.772287,666602422.14
2048,1024,1024,8192,48.730881,705091675.92
2048,2048,2048,32,4.783360,56118597.75
2048,2048,2048,64,5.056416,106176174.65
2048,2048,2048,128,5.784672,185618452.39
2048,2048,2048,256,7.105632,302222757.93
2048,2048,2048,512,9.852704,435917619.67
2048,2048,2048,1024,15.131840,567672849.61
2048,2048,2048,2048,22.528065,762598536.16
2048,2048,2048,4096,48.472000,708857449.28
2048,2048,2048,8192,91.208000,753436941.91
2048,4096,4096,32,9.110208,58930700.38
2048,4096,4096,64,9.393568,114306067.68
2048,4096,4096,128,11.072352,193950081.12
2048,4096,4096,256,13.847616,310159325.28
2048,4096,4096,512,18.716320,458954248.20
2048,4096,4096,1024,29.009312,592219125.22
2048,4096,4096,2048,50.725216,677369977.64
2048,4096,4096,4096,92.690208,741388738.86
2048,4096,4096,8192,178.007233,772097579.48
2048,8192,8192,32,17.502304,61348598.41
2048,8192,8192,64,18.617855,115345384.29
2048,8192,8192,128,20.982944,204688493.47
2048,8192,8192,256,26.095488,329173178.35
2048,8192,8192,512,36.271618,473644964.95
2048,8192,8192,1024,57.339134,599237132.50
2048,8192,8192,2048,100.047966,686865305.52
2048,8192,8192,4096,181.869049,755702821.20
2048,8192,8192,8192,345.755524,795006552.66
4096,32,32,32,0.544064,15418421.78
4096,32,32,64,0.601664,27884692.81
4096,32,32,128,0.772064,43460688.85
4096,32,32,256,0.967200,69384682.90
4096,32,32,512,1.380672,97211886.78
4096,32,32,1024,2.176544,123331052.37
4096,32,32,2048,3.836864,139924405.13
4096,32,32,4096,7.078176,151697530.65
4096,32,32,8192,13.438656,159798991.17
4096,64,64,32,0.692128,24240047.99
4096,64,64,64,0.849696,39489926.71
4096,64,64,128,0.964704,69564203.73
4096,64,64,256,1.227232,109366224.36
4096,64,64,512,1.692416,158610804.62
4096,64,64,1024,2.690976,199507885.27
4096,64,64,2048,4.578464,234520095.97
4096,64,64,4096,8.370048,256567675.42
4096,64,64,8192,15.813984,271592997.59
4096,128,128,32,1.095104,30640407.34
4096,128,128,64,1.144192,58651751.76
4096,128,128,128,1.384480,96944504.83
4096,128,128,256,1.684064,159397416.67
4096,128,128,512,2.353472,228118674.57
4096,128,128,1024,3.584672,299536981.83
4096,128,128,2048,5.990176,358500914.83
4096,128,128,4096,10.794016,397902628.83
4096,128,128,8192,20.954176,409939031.38
4096,256,256,32,1.594016,42100497.02
4096,256,256,64,1.701376,78887753.83
4096,256,256,128,2.004032,133947696.37
4096,256,256,256,2.470336,217327084.50
4096,256,256,512,3.406400,315213079.77
4096,256,256,1024,5.149952,416991007.91
