n_righeA,n_colonneA,n_righeB,n_colonneB,righe_blocco,colonne_blocco,n_proc,time,flops
64,64,64,128,2,2,1,0.002830,370502578.07
64,64,64,128,2,2,4,0.004866,215498887.78
64,64,64,128,3,3,1,0.002791,375682601.68
64,64,64,128,3,3,4,0.004663,224894073.53
64,64,64,128,3,3,8,0.003705,283034959.27
64,64,64,128,4,4,1,0.002774,378021059.04
64,64,64,128,4,4,4,0.008448,124120691.19
64,64,64,128,4,4,8,0.003843,272871045.66
64,64,64,128,4,4,12,0.012019,87241271.52
64,64,64,128,4,4,16,0.007523,139383490.99
64,64,64,256,1,1,1,0.004873,430402829.15
64,64,64,256,2,2,1,0.005303,395487044.88
64,64,64,256,2,2,4,0.006271,334431592.29
64,64,64,256,3,3,1,0.005052,415124984.32
64,64,64,256,3,3,4,0.006878,304889334.25
64,64,64,256,3,3,8,0.006695,313218235.38
64,64,64,256,4,4,1,0.005117,409844945.57
64,64,64,256,4,4,4,0.012171,172312664.00
64,64,64,256,4,4,8,0.006372,329130429.92
64,64,64,256,4,4,12,0.014360,146040596.65
64,64,64,256,4,4,16,0.007627,274973654.30
64,128,128,32,1,1,1,0.001492,351449877.37
64,128,128,32,2,2,1,0.001722,304503470.35
64,128,128,32,2,2,4,0.003153,166257911.51
64,128,128,32,3,3,1,0.001708,306923521.30
64,128,128,32,3,3,4,0.003176,165088798.01
64,128,128,32,3,3,8,0.002961,177042442.28
64,128,128,32,4,4,1,0.001616,324439647.27
64,128,128,32,4,4,4,0.003357,156178191.69
64,128,128,32,4,4,8,0.003485,150429752.53
64,128,128,32,4,4,12,0.003343,156840498.37
64,128,128,32,4,4,16,0.005796,90454026.94
64,128,128,64,1,1,1,0.002751,381212059.71
64,128,128,64,2,2,1,0.002735,383424380.09
64,128,128,64,2,2,4,0.004452,235540784.52
64,128,128,64,3,3,1,0.002697,388773866.84
64,128,128,64,3,3,4,0.004716,222357003.56
64,128,128,64,3,3,8,0.004857,215870356.38
64,128,128,64,4,4,1,0.002766,379052111.03
64,128,128,64,4,4,4,0.005175,202641084.86
64,128,128,64,4,4,8,0.003666,286008243.12
64,128,128,64,4,4,12,0.010929,95948296.05
64,128,128,64,4,4,16,0.005014,209113906.33
64,128,128,128,1,1,1,0.004893,428624377.68
64,128,128,128,2,2,1,0.004974,421650970.92
64,128,128,128,2,2,4,0.009507,220594591.88
64,128,128,128,3,3,1,0.005020,417733319.55
64,128,128,128,3,3,4,0.008784,238749500.21
64,128,128,128,3,3,8,0.007693,272619676.23
64,128,128,128,4,4,1,0.005008,418771991.42
64,128,128,128,4,4,4,0.007113,294848107.47
64,128,128,128,4,4,8,0.008307,252441180.14
64,128,128,128,4,4,12,0.012938,162093709.41
64,128,128,128,4,4,16,0.006884,304624929.16
64,128,128,256,1,1,1,0.008975,467323671.83
64,128,128,256,2,2,1,0.009211,455366903.99
64,128,128,256,2,2,4,0.008763,478625223.15
64,128,128,256,3,3,1,0.009162,457781284.02
64,128,128,256,3,3,4,0.010590,396057159.66
64,128,128,256,3,3,8,0.010519,398733433.13
64,128,128,256,4,4,1,0.009253,453306180.93
64,128,128,256,4,4,4,0.010408,402991351.77
64,128,128,256,4,4,8,0.008484,494400681.00
64,128,128,256,4,4,12,0.017702,236939128.13
64,128,128,256,4,4,16,0.008330,503496574.42
64,256,256,32,1,1,1,0.003072,341352336.82
64,256,256,32,2,2,1,0.003030,346083884.65
64,256,256,32,2,2,4,0.004344,241374832.67
64,256,256,32,3,3,1,0.003038,345102626.38
64,256,256,32,3,3,4,0.004713,222480931.70
64,256,256,32,3,3,8,0.004768,219928957.58
64,256,256,32,4,4,1,0.003070,341590093.63
64,256,256,32,4,4,4,0.004460,235100886.11
64,256,256,32,4,4,8,0.004946,212010723.28
64,256,256,32,4,4,12,0.005090,206009537.27
64,256,256,32,4,4,16,0.005334,196566777.69
64,256,256,64,1,1,1,0.005115,409961421.36
64,256,256,64,2,2,1,0.005161,406315522.61
64,256,256,64,2,2,4,0.006458,324713127.32
64,256,256,64,3,3,1,0.005077,413081163.94
64,256,256,64,3,3,4,0.006668,314531269.55
64,256,256,64,3,3,8,0.006091,344281076.01
64,256,256,64,4,4,1,0.005081,412716238.44
64,256,256,64,4,4,4,0.007462,281040189.97
64,256,256,64,4,4,8,0.007568,277122098.67
64,256,256,64,4,4,12,0.015410,136092662.79
64,256,256,64,4,4,16,0.010346,202701134.96
64,256,256,128,1,1,1,0.009511,441017665.03
64,256,256,128,2,2,1,0.009136,459115806.19
64,256,256,128,2,2,4,0.008440,496930335.78
64,256,256,128,3,3,1,0.009180,456917227.56
64,256,256,128,3,3,4,0.010151,413185839.36
64,256,256,128,3,3,8,0.008583,488653382.81
64,256,256,128,4,4,1,0.009170,457390698.11
64,256,256,128,4,4,4,0.010180,412006899.66
64,256,256,128,4,4,8,0.008670,483780538.26
64,256,256,128,4,4,12,0.016994,246815616.15
64,256,256,128,4,4,16,0.010008,419113539.55
64,256,256,256,1,1,1,0.017350,483483515.05
64,256,256,256,2,2,1,0.017615,476210779.16
64,256,256,256,2,2,4,0.012892,650658988.39
64,256,256,256,3,3,1,0.017293,485084493.67
64,256,256,256,3,3,4,0.015342,546759648.44
64,256,256,256,3,3,8,0.018191,461132006.41
64,256,256,256,4,4,1,0.018076,464073233.99
64,256,256,256,4,4,4,0.015879,528293937.18
64,256,256,256,4,4,8,0.013397,626171299.54
64,256,256,256,4,4,12,0.017886,468993887.16
64,256,256,256,4,4,16,0.013483,622141808.22
128,32,32,32,1,1,1,0.000869,301593648.09
128,32,32,32,2,2,1,0.000995,263469257.14
128,32,32,32,2,2,4,0.002852,91926067.79
128,32,32,32,3,3,1,0.000951,275664519.96
128,32,32,32,3,3,4,0.002996,87504688.98
128,32,32,32,3,3,8,0.006034,43441351.16
128,32,32,32,4,4,1,0.000919,285095006.19
128,32,32,32,4,4,4,0.003106,84388469.62
128,32,32,32,4,4,8,0.005471,47919341.38
128,32,32,32,4,4,12,0.008022,32677011.87
128,32,32,32,4,4,16,0.010875,24104585.07
128,32,32,64,1,1,1,0.001450,361476475.92
128,32,32,64,2,2,1,0.001619,323776078.54
128,32,32,64,2,2,4,0.002974,176287132.89
128,32,32,64,3,3,1,0.001590,329726564.54
128,32,32,64,3,3,4,0.004289,122234819.07
128,32,32,64,3,3,8,0.006838,76675469.25
128,32,32,64,4,4,1,0.001747,300063117.96
128,32,32,64,4,4,4,0.003767,139189131.06
128,32,32,64,4,4,8,0.006968,75238534.83
128,32,32,64,4,4,12,0.010761,48721627.59
128,32,32,64,4,4,16,0.012218,42909864.00
128,32,32,128,1,1,1,0.002646,396250701.12
128,32,32,128,2,2,1,0.002904,361140956.24
128,32,32,128,2,2,4,0.004326,242365070.59
128,32,32,128,3,3,1,0.003153,332545237.44
128,32,32,128,3,3,4,0.005433,192993541.40
128,32,32,128,3,3,8,0.006954,150794077.32
128,32,32,128,4,4,1,0.002859,366765399.23
128,32,32,128,4,4,4,0.005079,206471704.14
128,32,32,128,4,4,8,0.006905,151860306.69
128,32,32,128,4,4,12,0.011379,92149785.92
128,32,32,128,4,4,16,0.013496,77693851.62
128,32,32,256,1,1,1,0.005011,418499666.80
128,32,32,256,2,2,1,0.005402,388195131.89
128,32,32,256,2,2,4,0.005627,372661987.90
128,32,32,256,3,3,1,0.005311,394850636.26
128,32,32,256,3,3,4,0.012320,170222762.46
128,32,32,256,3,3,8,0.009379,223593540.48
128,32,32,256,4,4,1,0.005321,394118089.59
128,32,32,256,4,4,4,0.008263,253797330.87
128,32,32,256,4,4,8,0.008229,254847433.73
128,32,32,256,4,4,12,0.015629,134179594.84
128,32,32,256,4,4,16,0.011839,177144837.96
128,64,64,32,1,1,1,0.001585,330747483.60
128,64,64,32,2,2,1,0.001587,330421464.76
128,64,64,32,2,2,4,0.003027,173190617.35
128,64,64,32,3,3,1,0.001641,319435175.59
128,64,64,32,3,3,4,0.003463,151398151.33
128,64,64,32,3,3,8,0.003046,172141748.68
128,64,64,32,4,4,1,0.001733,302543379.09
128,64,64,32,4,4,4,0.004088,128251616.37
128,64,64,32,4,4,8,0.002855,183609519.29
128,64,64,32,4,4,12,0.009190,57050630.95
128,64,64,32,4,4,16,0.003916,133897231.14
128,64,64,64,1,1,1,0.002589,404971159.64
128,64,64,64,2,2,1,0.002720,385473712.39
128,64,64,64,2,2,4,0.004321,242692607.09
128,64,64,64,3,3,1,0.002757,380359703.91
128,64,64,64,3,3,4,0.005099,205650523.37
128,64,64,64,3,3,8,0.005363,195509957.24
128,64,64,64,4,4,1,0.002681,391138129.66
128,64,64,64,4,4,4,0.004728,221770416.45
128,64,64,64,4,4,8,0.004588,228565609.46
128,64,64,64,4,4,12,0.010551,99377933.00
128,64,64,64,4,4,16,0.005236,200249036.41
128,64,64,128,1,1,1,0.004714,444838801.47
128,64,64,128,2,2,1,0.004931,425262621.35
128,64,64,128,2,2,4,0.005534,378956679.85
128,64,64,128,3,3,1,0.004888,429073824.82
128,64,64,128,3,3,4,0.007257,288975516.86
128,64,64,128,3,3,8,0.005582,375716670.04
128,64,64,128,4,4,1,0.004907,427393786.65
128,64,64,128,4,4,4,0.007576,276808198.10
128,64,64,128,4,4,8,0.007884,265999963.34
128,64,64,128,4,4,12,0.014114,148590466.66
128,64,64,128,4,4,16,0.007827,267936895.69
128,64,64,256,1,1,1,0.008572,489302523.01
128,64,64,256,2,2,1,0.008925,469931726.27
128,64,64,256,2,2,4,0.008122,516398441.33
128,64,64,256,3,3,1,0.008937,469334841.86
128,64,64,256,3,3,4,0.010345,405447161.58
128,64,64,256,3,3,8,0.009085,461670426.52
128,64,64,256,4,4,1,0.009189,456445800.24
128,64,64,256,4,4,4,0.009904,423497316.22
128,64,64,256,4,4,8,0.008412,498633908.10
128,64,64,256,4,4,12,0.017588,238480112.64
128,64,64,256,4,4,16,0.010090,415685053.60
128,128,128,32,1,1,1,0.002908,360567337.76
128,128,128,32,2,2,1,0.002889,362941478.89
128,128,128,32,2,2,4,0.004929,212739245.57
128,128,128,32,3,3,1,0.003057,342984380.74
128,128,128,32,3,3,4,0.005048,207719630.10
128,128,128,32,3,3,8,0.006237,168109371.41
128,128,128,32,4,4,1,0.002882,363801506.94
128,128,128,32,4,4,4,0.008860,118345611.14
128,128,128,32,4,4,8,0.004503,232867857.53
128,128,128,32,4,4,12,0.012974,80821366.45
128,128,128,32,4,4,16,0.005523,189871496.81
128,128,128,64,1,1,1,0.004799,436998514.65
128,128,128,64,2,2,1,0.005081,412760835.28
128,128,128,64,2,2,4,0.006894,304210880.34
128,128,128,64,3,3,1,0.005115,409971758.90
128,128,128,64,3,3,4,0.007234,289896002.62
128,128,128,64,3,3,8,0.005995,349793928.47
